0,1,2,3,4
"(0, 0.9965381)",,,,
"(0, 0.9745187)","(3, 0.024078513)",,,
"(0, 0.99607104)",,,,
"(0, 0.9959701)",,,,
"(0, 0.96442807)","(3, 0.034085024)",,,
"(0, 0.9045713)","(3, 0.094016105)",,,
"(0, 0.94859475)","(3, 0.050138187)",,,
"(0, 0.9356892)","(4, 0.059337266)",,,
"(0, 0.36520085)","(4, 0.63046306)",,,
"(0, 0.35235605)","(1, 0.012404951)","(4, 0.6324881)",,
"(0, 0.30136368)","(4, 0.69571143)",,,
"(0, 0.21318837)","(4, 0.78288615)",,,
"(0, 0.1732389)","(4, 0.82344604)",,,
"(0, 0.28809547)","(3, 0.019556206)","(4, 0.6910922)",,
"(0, 0.34000543)","(1, 0.024859432)","(4, 0.6322175)",,
"(0, 0.29221356)","(1, 0.017215889)","(4, 0.6879488)",,
"(0, 0.26426506)","(3, 0.011698141)","(4, 0.72319967)",,
"(0, 0.3226814)","(1, 0.013457552)","(4, 0.6615388)",,
"(0, 0.27537587)","(4, 0.7211387)",,,
"(0, 0.2798081)","(3, 0.041422598)","(4, 0.67758554)",,
"(0, 0.21561377)","(1, 0.038550615)","(4, 0.74248767)",,
"(0, 0.27329534)","(4, 0.7237792)",,,
"(0, 0.17476)","(1, 0.046025533)","(4, 0.77623725)",,
"(0, 0.24266766)","(4, 0.754132)",,,
"(0, 0.37149942)","(4, 0.6252417)",,,
"(0, 0.32098076)","(1, 0.050459053)","(4, 0.6250707)",,
"(0, 0.26346666)","(1, 0.07833417)","(4, 0.6557469)",,
"(0, 0.32281077)","(2, 0.012996801)","(4, 0.6614371)",,
"(0, 0.17095056)","(1, 0.034463845)","(4, 0.7914769)",,
"(0, 0.2521424)","(1, 0.037260566)","(4, 0.7074104)",,
"(0, 0.2847362)","(4, 0.7111329)",,,
"(0, 0.14291073)","(1, 0.05955813)","(4, 0.7947146)",,
"(0, 0.29799715)","(3, 0.019092865)","(4, 0.6819826)",,
"(0, 0.2267106)","(4, 0.76922625)",,,
"(0, 0.36366266)","(4, 0.6321253)",,,
"(0, 0.22921893)","(2, 0.048468273)","(4, 0.71921635)",,
"(0, 0.26450154)","(4, 0.732567)",,,
"(0, 0.34164286)","(4, 0.6549552)",,,
"(0, 0.8436061)","(2, 0.010931921)","(3, 0.14459449)",,
"(0, 0.92040926)","(2, 0.019768972)","(3, 0.0589538)",,
"(0, 0.9524728)","(2, 0.012094103)","(3, 0.034627523)",,
"(0, 0.8140265)","(3, 0.18470314)",,,
"(0, 0.9537891)","(3, 0.044806372)",,,
"(0, 0.9288873)","(3, 0.06961214)",,,
"(0, 0.9238669)","(3, 0.07485654)",,,
"(0, 0.9730432)","(4, 0.023081262)",,,
"(0, 0.98177534)","(4, 0.014826405)",,,
"(0, 0.8877886)","(3, 0.110850155)",,,
"(0, 0.8935735)","(1, 0.019159475)","(3, 0.077619456)",,
"(0, 0.95783395)","(1, 0.016465165)","(2, 0.018781845)",,
